key,0,1,2,3,4,5,6,7,8,9
#,ContentType,Text[0],Text[1],Text[2],Text[3],Image,,UnlockQuest,,
int32,ContentType,Addon,Addon,Addon,Addon,Image,bit&01,Quest,uint32,uint32
0,"","","","","",,False,,0,0
1,"ダンジョン","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<Sheet(InstanceContent,IntegerParameter(5),3)/>を攻略する。","",,False,,0,0
2,"討伐・討滅戦","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<Sheet(InstanceContent,IntegerParameter(5),3)/>を攻略する。","",,False,,0,0
3,"レイド","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<Sheet(InstanceContent,IntegerParameter(5),3)/>を攻略する。","",,False,,0,0
4,"PvP","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(3),0))><Sheet(InstanceContent,IntegerParameter(5),3)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<Sheet(InstanceContent,IntegerParameter(5),3)/>に参戦する。","勝敗により、報酬の量が変わります。",,False,,0,0
5,"ディープダンジョン","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value>","<Sheet(PlaceName,<Sheet(TerritoryType,<Sheet(ContentFinderCondition,<Sheet(InstanceContent,IntegerParameter(5),8)/>,1)/>,5)/>,0)/>の<If(Equal(IntegerParameter(14),0))>B<Value>IntegerParameter(12)</Value><Else/><Value>IntegerParameter(12)</Value>層</If>を攻略する。","",,False,,0,0
6,"オーシャンフィッシング","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value>","<Sheet(ContentType,IntegerParameter(2),0)/>1回の航海で合計釣果<If(GreaterThan(IntegerParameter(7),0))><Value>IntegerParameter(7)</Value><Else/><Value>IntegerParameter(8)</Value></If>ポイント以上を記録する。","","ui/icon/112000/112383.tex",False,"魅惑の「オーシャンフィッシング」",0,0
7,"トリプルトライアド","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>？？？？</If>
Lv<Value>IntegerParameter(7)</Value>","<Sheet(ContentType,IntegerParameter(2),0)/>で<Sheet(PlaceName,<Sheet(TerritoryType,<Sheet(Level,IntegerParameter(10),9)/>,5)/>,0)/>の<Sheet(ENpcResident,IntegerParameter(5),0)/>に勝利する。","","ui/icon/111000/111044.tex",False,"「トリプルトライアド」の手引き",0,0
